SRARunAccession	SRAFileUrl
SRR28675536	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675536/SRR28675536.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675536/PAE49128_pass_0c2fd855_22.fast5.1
SRR28675537	https://sra-pub-src-2.s3.amazonaws.com/SRR28675537/PAE49128_pass_0c2fd855_102.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675537/SRR28675537.1
SRR28675538	https://sra-pub-src-2.s3.amazonaws.com/SRR28675538/PAE49128_pass_0c2fd855_21.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675538/SRR28675538.1
SRR28675539	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675539/SRR28675539.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675539/PAE49128_pass_0c2fd855_20.fast5.1
SRR28675540	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675540/SRR28675540.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675540/PAE49128_pass_0c2fd855_2.fast5.1
SRR28675541	https://sra-pub-src-2.s3.amazonaws.com/SRR28675541/PAE49128_pass_0c2fd855_19.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675541/SRR28675541.1
SRR28675542	https://sra-pub-src-2.s3.amazonaws.com/SRR28675542/PAE49128_pass_0c2fd855_18.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675542/SRR28675542.1
SRR28675543	https://sra-pub-src-2.s3.amazonaws.com/SRR28675543/PAE49128_pass_0c2fd855_17.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675543/SRR28675543.1
SRR28675229	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675229/SRR28675229.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675229/PAE49128_pass_0c2fd855_16.fast5.1
SRR28675230	https://sra-pub-src-2.s3.amazonaws.com/SRR28675230/PAE49128_pass_0c2fd855_15.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675230/SRR28675230.1
